filename,region,genotype,seedling,zslice,total_area,integrated_intensity,mean_intensity
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2_snapshot.tif,meristem,mutant,1,,413209.0,16669332.0,40.341163914629156
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_mutant_meristem_zone/h2b-istl345_11_seedling2_meristem_29slices (Snapshot).tif,meristem,mutant,2,,686815.0,20457640.0,29.78624520431266
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_mutant_meristem_zone/h2b-istl345_11_seedling3_meristem (Snapshot).tif,meristem,mutant,3,,590554.0,29748525.0,50.37392854844773
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_mutant_meristem_zone/h2b-istl345_11_seedling4_meristem (Snapshot).tif,meristem,mutant,4,,464520.0,16687730.0,35.92467493326445
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_mutant_meristem_zone/h2b-istl345_11_seedling5_meristem (Snapshot).tif,meristem,mutant,5,,421349.0,16627350.0,39.462179808187514
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem (Snapshot).tif,meristem,control,12,,840137.0,24846872.0,29.57478601704246
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem (Snapshot).tif,meristem,control,13,,572268.0,24484829.0,42.78559870550162
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/istl_control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem (Snapshot).tif,meristem,control,14,,574867.0,13375990.0,23.26797328773438
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z01c1.tif,meristem,control,12,1,20526.0,516693.0,25.172610347851506
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z02c1.tif,meristem,control,12,2,16666.0,402278.0,24.13764550582023
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z03c1.tif,meristem,control,12,3,18761.0,362276.0,19.31005809924844
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z04c1.tif,meristem,control,12,4,16970.0,399167.0,23.521921037124336
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z05c1.tif,meristem,control,12,5,16090.0,120349.0,7.479738968303294
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z06c1.tif,meristem,control,12,6,5152.0,47982.0,9.313276397515528
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z07c1.tif,meristem,control,12,7,4572.0,46628.0,10.198600174978127
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z08c1.tif,meristem,control,12,8,1224.0,1337.0,1.0923202614379084
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z09c1.tif,meristem,control,12,9,1808.0,2111.0,1.1675884955752212
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z10c1.tif,meristem,control,12,10,2806.0,156816.0,55.88595866001425
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z11c1.tif,meristem,control,12,11,3041.0,153575.0,50.501479776389345
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z12c1.tif,meristem,control,12,12,3809.0,150832.0,39.59884484116566
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z13c1.tif,meristem,control,12,13,6012.0,179166.0,29.801397205588824
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z14c1.tif,meristem,control,12,14,5894.0,174965.0,29.68527315914489
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z15c1.tif,meristem,control,12,15,3033.0,145589.0,48.0016485328058
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z16c1.tif,meristem,control,12,16,2134.0,144073.0,67.51312089971884
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z17c1.tif,meristem,control,12,17,1781.0,144758.0,81.27905670971364
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z18c1.tif,meristem,control,12,18,1423.0,147358.0,103.55446240337315
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z19c1.tif,meristem,control,12,19,1418.0,149562.0,105.47390691114245
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z20c1.tif,meristem,control,12,20,1543.0,148877.0,96.48541801685029
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z21c1.tif,meristem,control,12,21,1369.0,146179.0,106.77794010226442
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z22c1.tif,meristem,control,12,22,1381.0,144536.0,104.66039102099927
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z23c1.tif,meristem,control,12,23,1387.0,143363.0,103.36193222782985
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z24c1.tif,meristem,control,12,24,1623.0,142972.0,88.09118915588417
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z25c1.tif,meristem,control,12,25,2127.0,143032.0,67.24588622472966
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z26c1.tif,meristem,control,12,26,1637.0,142824.0,87.247403787416
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling12_meristem/h2b-istl345_normal_11_seedling12_meristem_z27c1.tif,meristem,control,12,27,1605.0,142458.0,88.7588785046729
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z01c1.tif,meristem,control,13,1,89306.0,1037299.0,11.615109847042753
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z02c1.tif,meristem,control,13,2,90646.0,1129852.0,12.464444101228956
